Date,Symbol,Order,Shares
2009-09-29,ML4T-399,SELL,100
2009-10-06,ML4T-399,BUY,100
2009-09-30,ML4T-399,SELL,100
2009-10-07,ML4T-399,BUY,100
2009-10-01,ML4T-399,SELL,100
2009-10-08,ML4T-399,BUY,100
2009-10-06,ML4T-399,BUY,100
2009-10-13,ML4T-399,SELL,100
2009-10-07,ML4T-399,BUY,100
2009-10-14,ML4T-399,SELL,100
2009-10-08,ML4T-399,BUY,100
2009-10-15,ML4T-399,SELL,100
2009-10-09,ML4T-399,BUY,100
2009-10-16,ML4T-399,SELL,100
2009-10-12,ML4T-399,BUY,100
2009-10-19,ML4T-399,SELL,100
2009-10-13,ML4T-399,BUY,100
2009-10-20,ML4T-399,SELL,100
2009-10-16,ML4T-399,SELL,100
2009-10-23,ML4T-399,BUY,100
2009-10-19,ML4T-399,SELL,100
2009-10-26,ML4T-399,BUY,100
2009-10-20,ML4T-399,SELL,100
2009-10-27,ML4T-399,BUY,100
2009-10-21,ML4T-399,SELL,100
2009-10-28,ML4T-399,BUY,100
2009-10-22,ML4T-399,SELL,100
2009-10-29,ML4T-399,BUY,100
2009-10-27,ML4T-399,BUY,100
2009-11-03,ML4T-399,SELL,100
2009-10-28,ML4T-399,BUY,100
2009-11-04,ML4T-399,SELL,100
2009-10-29,ML4T-399,BUY,100
2009-11-05,ML4T-399,SELL,100
2009-10-30,ML4T-399,BUY,100
2009-11-06,ML4T-399,SELL,100
2009-11-02,ML4T-399,BUY,100
2009-11-09,ML4T-399,SELL,100
2009-11-03,ML4T-399,BUY,100
2009-11-10,ML4T-399,SELL,100
2009-11-06,ML4T-399,SELL,100
2009-11-13,ML4T-399,BUY,100
2009-11-09,ML4T-399,SELL,100
2009-11-16,ML4T-399,BUY,100
2009-11-10,ML4T-399,SELL,100
2009-11-17,ML4T-399,BUY,100
2009-11-11,ML4T-399,SELL,100
2009-11-18,ML4T-399,BUY,100
2009-11-12,ML4T-399,SELL,100
2009-11-19,ML4T-399,BUY,100
2009-11-18,ML4T-399,BUY,100
2009-11-25,ML4T-399,SELL,100
2009-11-19,ML4T-399,BUY,100
2009-11-27,ML4T-399,SELL,100
2009-11-20,ML4T-399,BUY,100
2009-11-30,ML4T-399,SELL,100
